iter	Passed	Remaining
0	138	138393
1	139	69537
2	140	46549
3	140	35047
4	141	28169
5	142	23571
6	142	20281
7	143	17804
8	144	15878
9	144	14334
10	145	13085
11	146	12052
12	147	11204
13	148	10448
14	149	9821
15	150	9242
16	150	8725
17	151	8266
18	152	7855
19	152	7489
20	153	7156
21	154	6852
22	154	6573
23	155	6316
24	156	6084
25	156	5867
26	157	5668
27	158	5488
28	158	5317
29	159	5157
30	160	5006
31	160	4866
32	161	4738
33	162	4612
34	163	4494
35	164	4391
36	164	4284
37	165	4183
38	165	4086
39	166	3994
40	167	3907
41	167	3825
42	168	3746
43	168	3671
44	169	3598
45	170	3528
46	170	3461
47	171	3398
48	172	3342
49	172	3284
50	173	3227
51	174	3179
52	175	3128
53	175	3080
54	176	3037
55	177	2991
56	177	2944
57	178	2899
58	179	2857
59	179	2815
60	180	2774
61	180	2735
62	181	2698
63	181	2661
64	182	2626
65	183	2592
66	183	2559
67	184	2526
68	184	2496
69	185	2466
70	186	2437
71	187	2413
72	188	2387
73	188	2363
74	189	2341
75	190	2315
76	191	2290
77	191	2265
78	192	2241
79	192	2217
80	193	2194
81	194	2172
82	194	2147
83	194	2126
84	195	2108
85	196	2087
86	197	2068
87	197	2048
88	198	2030
89	199	2014
90	200	1998
91	200	1980
92	201	1964
93	202	1951
94	203	1935
95	203	1919
96	204	1906
97	205	1890
98	205	1874
99	206	1858
100	207	1843
101	207	1828
102	208	1814
103	208	1800
104	209	1785
105	210	1771
106	210	1759
107	211	1746
108	211	1732
109	212	1719
110	213	1706
111	213	1694
112	214	1681
113	214	1669
114	215	1657
115	216	1646
116	216	1635
117	218	1629
118	218	1619
119	219	1609
120	220	1598
121	220	1587
122	221	1577
123	222	1569
124	222	1559
125	223	1550
126	223	1539
127	224	1529
128	225	1520
129	225	1511
130	226	1502
131	227	1493
132	227	1484
133	228	1475
134	229	1468
135	229	1459
136	230	1451
137	231	1445
138	232	1439
139	233	1431
140	233	1425
141	234	1417
142	235	1409
143	235	1401
144	236	1393
145	236	1386
146	237	1378
147	238	1371
148	238	1363
149	239	1356
150	239	1348
151	240	1341
152	241	1334
153	241	1327
154	242	1321
155	242	1314
156	243	1307
157	244	1301
158	244	1294
159	245	1288
160	245	1281
161	247	1278
162	247	1272
163	248	1266
164	249	1261
165	249	1255
166	250	1249
167	251	1244
168	251	1238
169	252	1233
170	253	1227
171	253	1222
172	254	1217
173	255	1212
174	256	1207
175	256	1201
176	257	1196
177	257	1190
178	258	1185
179	259	1180
180	260	1176
181	260	1172
182	261	1168
183	262	1164
184	263	1159
185	263	1154
186	264	1149
187	265	1145
188	266	1142
189	266	1137
190	267	1132
191	268	1129
192	269	1125
193	269	1120
194	270	1116
195	271	1111
196	271	1107
197	272	1102
198	272	1098
199	273	1093
200	274	1090
201	275	1086
202	275	1082
203	276	1078
204	277	1076
205	278	1072
206	279	1069
207	279	1065
208	280	1061
209	281	1057
210	281	1054
211	282	1049
212	283	1045
213	283	1041
214	284	1037
215	284	1033
216	285	1029
217	285	1025
218	286	1021
219	287	1017
220	287	1014
221	288	1010
222	289	1007
223	289	1004
224	290	1000
225	291	997
226	292	995
227	292	991
228	293	988
229	294	986
230	295	982
231	295	978
232	296	975
233	296	971
234	297	968
235	298	965
236	298	961
237	299	958
238	300	955
239	300	951
240	301	948
241	302	946
242	302	943
243	303	939
244	303	936
245	304	933
246	305	930
247	305	927
248	306	925
249	307	922
250	308	919
251	309	918
252	310	915
253	310	912
254	311	909
255	311	906
256	312	903
257	313	900
258	313	897
259	314	894
260	315	892
261	315	889
262	316	887
263	317	884
264	318	882
265	318	879
266	319	876
267	320	874
268	320	872
269	321	869
270	322	867
271	323	865
272	324	863
273	325	861
274	325	858
275	326	856
276	326	853
277	327	850
278	328	848
279	328	845
280	329	843
281	330	840
282	330	838
283	331	835
284	332	832
285	332	830
286	333	827
287	333	825
288	334	822
289	335	820
290	335	818
291	336	816
292	337	814
293	338	811
294	338	809
295	339	807
296	340	804
297	341	803
298	341	801
299	342	799
300	343	797
301	344	795
302	344	792
303	345	790
304	346	788
305	346	786
306	347	783
307	347	781
308	348	779
309	349	777
310	350	775
311	350	773
312	351	771
313	352	770
314	353	768
315	354	766
316	354	764
317	355	762
318	355	759
319	356	757
320	357	755
321	357	753
322	358	751
323	359	749
324	360	747
325	360	745
326	361	743
327	361	741
328	362	739
329	363	737
330	363	735
331	364	732
332	364	730
333	365	728
334	366	726
335	367	725
336	367	723
337	368	721
338	369	719
339	369	718
340	370	716
341	371	714
342	372	713
343	372	711
344	374	710
345	374	708
346	375	706
347	376	705
348	377	703
349	377	701
350	378	699
351	379	698
352	380	696
353	380	695
354	381	693
355	382	692
356	383	691
357	384	690
358	385	688
359	386	687
360	387	685
361	388	683
362	388	682
363	389	680
364	390	679
365	391	677
366	391	675
367	392	674
368	393	672
369	394	670
370	394	669
371	395	667
372	396	665
373	397	665
